GEOID,HubName,HubDist
53007960501,3518714008,123716.25537101271
53007961102,3518714008,140984.13691411348
53007961303,3518714008,138062.78109840117
53007961304,3518714008,133077.0052778014
53007960201,3518714008,97398.25192991788
53007960804,3518714008,137639.69813735154
53033990100,356551783,4483.144322469941
53033032326,3518714008,6508.709567355793
53033032327,3518714008,7830.377488593033
53033025602,3518714008,21789.614532389864
53067012320,10920467847,10267.338909370845
53007960803,3518714008,138093.12154206407
53007961002,6388426551,201639.14271981304
53007961101,3518714008,140037.29528710592
53007961001,3518714008,138963.9546621234
53063002600,358665780,43430.65872359612
53063002900,358665780,42058.466516322886
53063003200,358665780,46526.83017401585
53071920902,358665780,218677.6814372814
53033031400,13071427976,35023.40802865903
53057990100,9559342242,22926.011845163324
53057952401,9559342242,526.027742703961
53057952301,9559342242,2544.0454916665403
53033022001,3518714008,9568.277172113976
53033022003,3518714008,7822.458222733802
53061041703,6562979688,13072.635691369678
53021020606,358665780,243040.21786225695
53011042400,2631801052,9041.130055097678
53033029101,356551783,16652.711747685134
53033031605,3518714008,39733.160239255834
53033031704,356551783,26545.6513197112
53063003500,358665780,46925.030024853906
53027940000,12196495276,53673.80162362515
53011042500,2631801052,9873.253922718313
53011041203,2631801052,13216.719670234213
53033007700,11004965702,2055.684325580423
53015001300,8389138771,52074.54248208643
53015001200,8389138771,57153.050667653755
53015001700,8389138771,57205.47626754743
53015000602,8389138771,55088.87150105488
53015002001,8389138771,35167.067755305805
53015001900,8389138771,45634.51104339413
53015001100,8389138771,57061.588405191455
53015001800,8389138771,55889.2593611703
53015000400,8389138771,55840.94752559336
53011041312,2631801052,16485.783686767398
53011041313,2631801052,14806.998493807512
53033007600,11004965702,1662.5235483085921
53033007800,11004965702,3271.50559705602
53033029206,356551783,16342.246400065766
53033023702,3518714008,6141.010694928073
53033004902,13361539355,2643.2041954140755
53033007406,53184121,1005.7801888333772
53033011601,356551783,2042.1832896974333
53033005803,13361539355,2782.9998642686887
53033023807,3518714008,8477.284872917275
53033029208,356551783,18980.814136730798
53033000403,635748207,1968.336423526809
53033025703,356551783,14735.231711457584
53033025704,11035186711,17633.25670076653
53033011602,356551783,2026.0491387574148
53033004901,13361539355,2220.8193193280135
53033005804,13361539355,3889.153425542635
53033008101,53184118,1381.313113847596
53033007901,11004965702,918.862441924013
53033008102,53070522,837.1243692716906
53033029207,356551783,18632.702569592857
53033007404,53184121,1419.1878935561454
53033007101,53184118,2507.602981063437
53033000404,635748207,1905.3874320756875
53033023701,3518714008,5254.411599608521
53053940010,13071427976,11706.774486854747
53073010900,9115152224,49738.37900163945
53063011800,358665780,32519.27991701059
53063011900,358665780,34080.44008886365
53063012000,358665780,35669.09451845375
53063012100,358665780,37239.99564924063
53067012330,10920467847,5905.387189327345
53005011401,358665780,243176.03593081137
53005011402,358665780,244051.0999619704
53005011900,3518714008,244775.20343050465
53071920802,358665780,214953.39758383378
53041972000,13071427976,95055.94988690499
53041970700,9213346422,2957.2306179022053
53041970400,9213346422,6159.47563371222
53041971000,8389138771,650.8463420280405
53041971300,8389138771,12850.560328043435
53041971800,13071427976,64780.85631928396
53041971100,8389138771,13461.812567535573
53041970300,9213346422,6839.0329823337
53067012420,11787663735,12430.421320645195
53067011000,13900397768,4983.3945532999005
53067012100,2713355731,8022.322098391819
53067010600,13900397768,2443.7909485175223
53033032103,3518714008,16171.899180732731
53067010200,2713355731,2981.3949303531717
53067010100,13900397768,3776.743068919667
53053071506,13071427976,14063.10784787042
53053071601,13071427976,7772.973040527451
53053071704,13071427976,9086.138242880868
53053071705,13071427976,8948.44363874663
53053071706,13071427976,9897.93290007441
53053071707,13071427976,9998.640139838297
53035090202,13361539355,23112.33133540604
53035090501,13361539355,21996.538455578444
53035990100,13361539355,15600.843128280652
53033003800,11609050926,5002.450412927215
53033021500,635748207,7241.353258647341
53033032704,3518714008,33680.29743207463
53033026200,356551783,12355.996515484221
53033032703,3518714008,29123.80388950748
53033032319,3518714008,9692.493858142567
53033032313,3518714008,3046.975311478384
53033031603,3518714008,40510.82724679322
53033026802,356551783,4423.5851319019375
53033023202,3518714008,6161.281969627117
53063013102,358665780,26298.480815067673
53061041400,6562979688,3919.0068176184695
53063000201,358665780,42948.70170137321
53063011301,358665780,35578.569203054154
53063010508,358665780,51980.603817502146
53063002501,358665780,45457.512058900495
53063010101,358665780,26532.969238406527
53063013205,358665780,23057.698768343264
53063010102,358665780,32938.04432578487
53063000202,358665780,42867.542498334384
53063003602,358665780,48541.7542262835
53063004002,358665780,48272.99835672209
53063010901,358665780,46470.25837382268
53063010403,358665780,67771.39276487078
53033021100,635748207,3428.0992788953517
53033021600,635748207,8262.007451074038
53033021802,3518714008,10968.763454656766
53033021803,3518714008,11991.351035582002
53033021804,3518714008,11449.004553567922
53029971100,9559342242,35240.58452985337
53029971400,9559342242,25537.293183277045
53029971500,9559342242,22686.409382326114
53075000100,358665780,110920.36921747659
53075000900,358665780,92096.61733083327
53075001000,358665780,130722.72985965916
53075000300,358665780,116286.89791269613
53075000800,358665780,101361.485190455
53053072309,13071427976,8749.877750033784
53053072311,13071427976,6477.688513083523
53053072407,11363011015,9554.776195874689
53053072408,11363011015,10238.044607630394
53053072409,11363011015,12842.58046379249
53029970601,9559342242,28211.070152366978
53029970100,9559342242,22585.085522118658
